epochs	4-2-3	4-3-3	4-4-3	4-5-3	4-6-3	4-7-3	4-8-3	4-9-3	4-10-3
5450	0.066111	0.076378	0.026009	0.057858	0.049091	0.025871	0.040302	0.056474	0.032669
5500	0.050257	0.078378	0.026733	0.071891	0.06795	0.024681	0.03086	0.049924	0.037944
5550	0.056172	0.065399	0.024909	0.060863	0.068105	0.025371	0.039573	0.053229	0.034124
5600	0.063842	0.045506	0.026014	0.066713	0.061002	0.024217	0.033346	0.042178	0.036025
5650	0.062337	0.07289	0.026424	0.045745	0.062521	0.025055	0.037874	0.037873	0.029525
5700	0.05966	0.0634	0.025906	0.066562	0.059409	0.02532	0.03489	0.055057	0.033789
5750	0.060954	0.062556	0.024894	0.072809	0.056016	0.024525	0.035981	0.044788	0.027672
5800	0.061006	0.054951	0.024935	0.063521	0.058957	0.024167	0.034833	0.052319	0.034319
5850	0.06067	0.054896	0.024069	0.05859	0.046417	0.024322	0.03334	0.045748	0.032067
5900	0.063976	0.066548	0.023604	0.057346	0.05791	0.022128	0.032867	0.037909	0.028585
5950	0.059279	0.055125	0.0242	0.080983	0.055281	0.023851	0.029331	0.046134	0.030903
6000	0.071561	0.044835	0.024049	0.06766	0.048501	0.023237	0.02774	0.042479	0.02964
6050	0.076699	0.062054	0.022454	0.05203	0.059961	0.023415	0.030741	0.043278	0.02923
6100	0.047655	0.049291	0.023446	0.057268	0.058657	0.023203	0.030309	0.036279	0.028919
6150	0.064605	0.052653	0.022643	0.057175	0.058521	0.022418	0.03029	0.034052	0.0278
6200	0.072532	0.055031	0.022239	0.054027	0.038007	0.022134	0.029338	0.039778	0.029142
6250	0.057792	0.054696	0.022551	0.038956	0.063469	0.022695	0.030165	0.039599	0.027165
6300	0.038127	0.068432	0.021691	0.066782	0.051727	0.02172	0.027654	0.038157	0.026271
6350	0.072329	0.053759	0.021799	0.065407	0.048717	0.021879	0.026999	0.038145	0.026366
6400	0.062101	0.057412	0.021649	0.051573	0.048295	0.02191	0.02776	0.030159	0.025429
6450	0.045985	0.070609	0.021427	0.060354	0.053369	0.021374	0.026747	0.030899	0.026625
6500	0.067658	0.069603	0.02149	0.059406	0.049058	0.020613	0.026139	0.033369	0.023838
6550	0.048776	0.060341	0.02056	0.05328	0.052142	0.02144	0.025936	0.034727	0.025497
6600	0.071784	0.043742	0.021471	0.045464	0.044107	0.021212	0.026464	0.033654	0.025572
6650	0.053382	0.051531	0.020809	0.066695	0.041327	0.020737	0.025862	0.032799	0.024911
6700	0.037254	0.067405	0.020933	0.056234	0.045798	0.020258	0.024727	0.032227	0.023428
6750	0.054506	0.064207	0.020556	0.051107	0.044206	0.020675	0.025153	0.032902	0.024002
6800	0.065451	0.074745	0.020228	0.057083	0.047805	0.020362	0.024324	0.030529	0.023368
6850	0.067062	0.0449	0.020211	0.06603	0.04187	0.02041	0.0243	0.026381	0.023286
6900	0.052389	0.073234	0.019945	0.056288	0.035466	0.019263	0.022331	0.029589	0.023417
6950	0.048083	0.06505	0.01985	0.060319	0.04293	0.019774	0.023947	0.028768	0.022641
7000	0.061205	0.050263	0.019749	0.058522	0.043034	0.019839	0.023539	0.026262	0.022858
7050	0.062462	0.072787	0.0194	0.064796	0.039829	0.019288	0.021347	0.028973	0.02094
7100	0.072025	0.066322	0.019387	0.036774	0.040594	0.019424	0.023663	0.026633	0.021059
7150	0.054287	0.052359	0.019153	0.07019	0.036198	0.019194	0.021695	0.026122	0.02143
7200	0.055023	0.070281	0.019209	0.069528	0.03487	0.019425	0.022955	0.027399	0.021427
7250	0.06732	0.058204	0.01865	0.045436	0.03685	0.018912	0.022159	0.027061	0.020183
7300	0.045479	0.056553	0.018954	0.067998	0.029744	0.018814	0.02235	0.026554	0.020567
7350	0.052072	0.060093	0.01835	0.065506	0.036643	0.018428	0.022064	0.027856	0.020842
7400	0.055257	0.055487	0.018544	0.064681	0.032862	0.018659	0.021643	0.025704	0.019209
7450	0.047862	0.053992	0.018401	0.063604	0.034307	0.0186	0.021688	0.025704	0.020028
7500	0.061786	0.05812	0.01826	0.062185	0.036288	0.018394	0.020189	0.025972	0.020257
7550	0.047939	0.051814	0.018052	0.056046	0.036934	0.018117	0.020808	0.025152	0.019809
7600	0.066867	0.065991	0.017651	0.048979	0.032388	0.018164	0.021273	0.024842	0.019087
7650	0.045043	0.049988	0.017633	0.060465	0.0338	0.017699	0.020488	0.023875	0.018619
7700	0.064537	0.051516	0.017732	0.066044	0.028308	0.017721	0.020562	0.024183	0.018749
7750	0.048865	0.046265	0.01744	0.059703	0.030291	0.017587	0.02041	0.023251	0.018875
7800	0.03593	0.051095	0.017446	0.061547	0.029138	0.01756	0.01987	0.024337	0.019001
7850	0.045603	0.065393	0.017272	0.06953	0.029731	0.017526	0.020004	0.023017	0.018551
7900	0.059994	0.03526	0.017059	0.056382	0.031351	0.017543	0.019296	0.023946	0.018421
7950	0.060736	0.066	0.017159	0.053749	0.02854	0.017012	0.018867	0.022684	0.018067
8000	0.0586	0.051719	0.016738	0.052758	0.029319	0.017183	0.019251	0.02134	0.018427
